검색어,클릭수,노출수,CTR,게재순위
엘리트 가라오케,1.0,2.0,0.5,46.5
강남 엘리트,0.0,4.0,0.0,59.75
인천 하이퍼블릭,0.0,3.0,0.0,36.67
